lat_appx_lots_of_err,long_appx_lots_of_err,EXT,EST,AGR,CSN,OPN
45.6303,-73.7802,0.0,1.9,0.9,0.7,1.2
43.7023,-79.7909,-0.3,1.0,1.3,1.8,0.7
45.4333,-73.8333,0.4,1.6,2.6,1.2,1.2
43.448,-80.4589,0.3,0.5,1.7,2.4,2.2
43.5136,-79.884,0.4,2.7,1.3,0.7,1.4
44.6829,-63.5442,0.5,2.3,1.1,0.7,1.5
50.4423,-104.6116,-1.6,2.5,2.1,1.7,1.7
43.7074,-79.7853,1.2,2.1,1.4,2.2,2.0
53.9103,-122.7835,-0.6,2.2,1.2,0.0,1.3
49.2733,-122.7965,-1.1,1.2,1.0,1.1,1.5
45.3333,-79.2167,-0.1,1.8,0.5,0.6,1.1
43.4353,-80.0997,0.9,2.7,1.8,0.1,1.6
43.6425,-79.3872,0.7,2.0,2.2,0.3,0.8
44.341,-64.2938,0.2,1.1,2.2,0.8,1.9
49.25,-123.1333,-0.5,1.0,2.3,2.1,1.4
49.2765,-123.2177,-0.8,2.3,1.2,1.9,2.1
52.1449,-106.6704,-0.7,1.9,1.5,0.8,1.1
53.5462,-113.2562,-1.2,2.6,1.6,1.0,1.0
42.3158,-83.0568,0.5,0.6,1.6,0.0,0.7
43.6383,-79.5356,-0.2,1.2,1.3,-1.1,1.4
45.8919,-64.3699,0.4,1.6,0.6,1.2,1.0
43.639,-79.4499,-1.4,1.5,0.7,1.5,0.0
49.2371,-123.0229,-1.4,1.9,1.7,1.7,1.3
45.4354,-75.6475,0.6,0.1,1.1,1.0,2.1
43.6392,-79.4058,-0.5,2.6,2.3,0.1,2.0
43.898,-78.8656,-0.8,2.1,1.4,1.6,1.3
43.6425,-79.3872,-0.3,0.4,1.1,2.4,1.8
42.3159,-83.0393,0.1,2.0,1.2,1.5,1.4
43.6425,-79.3872,-0.2,1.5,0.2,0.6,0.8
45.5452,-73.6266,-0.5,1.6,-0.2,1.6,1.0
45.5123,-73.5967,0.5,1.6,2.4,0.7,1.7
45.5115,-73.616,0.4,2.7,1.7,0.1,2.2
46.8143,-71.2431,0.6,2.3,2.1,0.4,2.4
43.7964,-79.4278,1.0,2.7,1.0,1.4,1.2
43.5747,-79.7278,-0.7,1.7,0.9,1.2,1.6
49.6833,-124.9333,-0.8,3.5,2.5,0.8,2.1
43.6425,-79.3872,-0.1,3.7,0.9,1.4,2.1
43.6403,-79.4374,-0.9,0.5,1.5,0.6,1.5
44.0414,-79.4534,-1.0,1.8,1.2,1.9,1.1
43.6425,-79.3872,1.1,2.0,2.2,1.6,1.0
43.6425,-79.3872,-1.0,1.4,1.2,-0.6,2.5
43.5325,-80.2531,0.1,1.0,1.1,0.4,1.2
43.3831,-80.3191,-1.0,2.7,1.0,0.9,0.2
48.4192,-123.3856,-0.3,0.5,2.1,0.6,0.5
43.6425,-79.3872,-1.2,2.4,0.3,0.2,1.3
49.8803,-119.5004,-0.8,1.3,2.1,0.6,1.6
45.3176,-75.895,0.4,2.2,1.6,-0.1,1.6
49.1551,-121.9459,-0.4,1.2,1.1,0.0,0.9
49.289,-123.1294,-0.2,1.7,1.8,0.3,2.0
45.4036,-72.7097,-0.4,3.3,0.4,0.9,0.5
43.6425,-79.3872,-1.0,3.1,0.2,0.6,1.1
43.8087,-79.1307,-1.0,1.1,0.6,1.3,2.0
43.7797,-79.4156,0.3,2.7,1.4,1.5,0.3
43.6425,-79.3872,-0.6,1.4,1.4,1.3,1.6
43.6425,-79.3872,0.7,1.6,1.3,0.8,1.2
42.7742,-80.9746,-0.6,2.2,2.0,0.1,1.5
43.3248,-79.7957,-1.4,2.3,-0.4,-0.5,1.2
43.7496,-79.4886,0.1,2.0,2.6,0.8,1.5
43.4667,-81.1969,-1.9,2.4,0.0,0.6,1.6
43.6619,-79.3952,-0.4,1.4,1.5,-0.2,1.2
43.6619,-79.3952,0.7,2.5,1.9,1.0,1.0
43.6425,-79.3872,0.3,2.2,1.7,2.0,1.2
43.6667,-79.4167,-1.7,2.7,0.6,0.2,0.6
43.6667,-79.4167,-0.4,0.3,1.1,2.2,1.6
45.9535,-66.6704,-0.7,1.2,0.5,0.4,1.0
43.6497,-79.3952,-1.3,1.5,1.3,0.6,0.7
44.64100000000001,-63.5682,1.3,1.5,1.3,-0.1,1.4
43.6425,-79.3872,0.9,2.4,1.6,0.2,1.5
45.6908,-73.6308,-1.6,2.5,-0.1,0.4,0.0
44.3833,-79.7,-0.5,1.3,1.2,0.1,1.1
43.6425,-79.3872,0.1,1.8,1.7,0.0,0.2
45.5,-73.5833,0.3,2.7,0.2,0.2,1.6
43.2645,-79.8664,1.1,1.1,1.8,0.8,1.8
48.4502,-123.3435,0.2,2.1,2.2,0.4,2.2
45.8919,-64.3699,1.3,3.0,1.8,0.5,2.0
45.5,-73.5833,-1.1,1.6,2.1,0.6,2.1
44.2763,-78.313,1.2,2.7,1.4,1.9,2.2
49.6833,-103.0167,-0.2,1.7,2.4,1.7,2.0
52.1193,-106.6594,0.9,1.8,1.5,1.3,2.3
52.1449,-106.6704,1.9,1.0,1.8,0.5,1.4
45.4833,-75.65,1.0,1.0,1.6,0.7,2.0
51.0227,-114.1342,-0.1,2.8,1.8,1.0,1.8
55.1667,-118.8,-0.2,2.0,0.9,0.7,1.5
45.3155,-75.837,1.8,0.7,2.0,1.6,1.5
43.6565,-79.4079,-0.1,1.8,1.5,2.0,0.8
48.4458,-123.3328,0.6,2.8,2.1,0.5,1.6
43.4543,-79.6921,-1.6,3.0,-0.3,1.9,2.0
45.5833,-62.6333,-1.8,1.9,2.0,-1.3,1.9
48.4349,-89.2192,0.0,1.7,1.5,0.3,1.0
49.834,-97.1865,-1.3,1.9,2.3,1.2,1.1
45.3176,-75.895,0.8,1.6,1.6,0.1,1.8
54.3146,-130.3413,0.3,1.8,1.1,1.9,1.4
45.5298,-73.6153,-0.5,2.1,1.5,1.3,2.1
