,EXT,EST,AGR,CSN,OPN,Clusters,lat,long
166,-0.3,1.1,1.2,1.6,0.0,0,43.2604,-79.8961
167,-1.6,2.1,0.9,-0.6,1.3,2,52.2592,-113.8237
168,-0.7,2.5,1.0,0.2,1.6,2,42.9833,-81.25
169,-0.5,1.8,0.6,0.3,0.6,3,42.989,-81.058
170,0.6,2.8,1.2,1.8,1.7,4,44.2763,-78.313
171,-0.6,3.0,1.2,1.0,1.5,2,49.5031,-119.5905
172,-0.8,3.4,2.2,1.1,0.6,2,43.6543,-79.3796
173,-0.8,1.1,1.1,1.2,1.7,3,53.2833,-110.0
174,1.0,0.7,2.5,0.6,1.8,5,43.2318,-79.7696
175,-0.3,1.2,1.7,0.9,0.6,1,42.9943,-81.2623
176,-0.8,1.2,0.1,1.4,1.5,3,51.0318,-113.9786
177,0.0,2.7,0.9,0.7,1.7,2,45.4127,-75.6742
178,-0.2,3.8,0.5,0.3,2.0,2,43.6425,-79.3872
179,-1.2,-0.1,0.0,-0.3,1.4,3,49.8833,-97.1667
180,1.3,0.2,1.7,2.0,1.3,5,43.6425,-79.3872
181,0.0,3.4,2.0,0.1,0.8,2,45.4167,-75.7
182,1.6,1.5,1.7,1.4,2.1,5,43.8449,-79.0996
183,0.7,1.0,1.4,1.4,1.8,5,45.5298,-73.6153
184,0.3,2.4,1.4,2.3,2.2,0,42.3077,-83.0724
185,-0.2,1.0,0.7,1.8,1.2,3,43.6425,-79.3872
186,-0.6,3.5,1.6,1.2,0.5,2,44.3891,-79.6901
187,-0.4,2.8,0.5,0.5,1.3,2,45.3333,-75.9
188,0.4,2.2,2.3,1.7,2.1,4,51.1147,-114.1796
189,1.3,2.3,2.3,2.5,2.3,5,49.2701,-123.1038
190,-0.7,1.1,1.2,0.9,0.6,3,43.6858,-79.7602
191,-2.0,2.7,0.8,1.3,0.4,2,44.6464,-63.5929
192,0.5,2.8,1.6,0.6,2.1,4,43.9091,-78.8088
193,0.9,1.5,1.0,1.9,1.6,5,49.35,-124.45
194,-0.2,2.5,0.9,1.5,1.4,0,45.3125,-75.8838
195,-0.6,2.7,1.5,1.9,2.2,0,43.6667,-79.4167
196,-1.5,2.6,2.1,1.8,0.9,0,51.0566,-114.1815
197,-0.5,0.6,0.9,1.7,1.8,3,43.6425,-79.3872
198,-1.1,1.2,0.8,2.0,1.7,3,43.5325,-80.2531
199,-0.5,2.4,1.1,1.8,1.8,0,45.5148,-73.5739
200,0.8,1.0,1.2,0.9,1.6,1,47.8184,-69.1505
201,-0.1,2.7,2.4,-0.3,1.5,4,49.0312,-122.3012
202,-0.5,3.5,1.4,0.1,1.0,2,43.6425,-79.3872
203,-0.8,2.1,1.0,1.1,1.3,0,42.1106,-83.1115
204,-0.9,3.2,1.3,0.9,2.1,2,49.136,-123.9483
205,1.8,2.3,-0.3,-0.2,1.5,1,43.8087,-79.1307
206,-0.2,2.6,2.0,0.1,1.4,2,49.2836,-123.1041
207,-1.7,2.3,2.2,1.2,1.5,0,43.707,-80.3777
208,-0.6,1.6,-0.4,0.5,2.3,3,43.6425,-79.3872
209,0.1,1.1,1.6,2.5,1.3,5,44.231,-76.4791
210,-0.9,0.9,0.6,0.1,1.3,3,43.6619,-79.3952
211,0.0,1.7,1.4,0.9,1.3,1,43.6088,-79.5574
212,-1.4,2.3,0.6,0.6,1.0,2,51.7667,-104.1833
213,-1.2,2.1,0.6,1.5,0.3,3,43.5665,-79.6035
214,-1.2,2.7,1.9,1.9,2.0,0,43.6403,-79.4374
215,1.4,2.8,1.1,-0.1,2.0,4,52.1068,-106.6552
216,0.1,1.2,1.7,1.2,1.2,1,43.4529,-80.5281
217,-0.8,1.7,1.0,1.0,1.9,3,49.25,-123.1333
218,-0.1,1.7,0.5,1.5,1.0,3,48.4,-89.2333
219,-1.2,1.9,0.7,0.9,0.7,3,43.6425,-79.3872
220,1.5,1.2,0.7,1.8,1.5,5,43.4244,-80.3364
221,-0.6,2.4,0.0,0.6,0.9,2,43.6425,-79.3872
222,-1.1,3.4,1.0,0.9,2.0,2,43.4529,-80.5281
223,-1.2,1.4,1.1,1.4,1.6,3,50.6667,-120.3333
224,0.5,2.6,2.0,1.0,2.1,4,46.4024,-72.5846
225,0.6,0.3,-1.0,1.4,1.8,3,52.2022,-106.6765
226,-1.9,1.8,-0.5,1.3,2.1,3,45.4769,-75.4835
227,1.5,1.4,1.8,1.2,1.6,5,46.3688,-72.58
228,0.9,0.0,1.7,2.6,2.5,5,50.4423,-104.6116
229,-0.2,1.3,1.1,1.6,2.0,0,48.449,-123.3842
230,0.0,0.2,-0.5,0.8,0.8,3,51.0833,-114.0833
231,1.5,1.5,1.5,1.3,1.9,5,49.0798,-123.0882
232,0.8,1.0,1.8,0.9,1.1,5,49.2738,-123.161
233,-0.7,1.6,0.4,0.1,1.6,3,43.6425,-79.3872
234,0.0,2.4,2.4,0.8,1.5,4,45.3523,-75.6512
235,-1.0,1.2,1.0,0.1,2.0,3,47.8184,-69.1505
236,0.0,1.3,1.4,1.6,1.4,0,50.6764,-120.3399
237,-0.4,1.4,0.7,1.3,1.2,3,49.2536,-122.9085
238,-0.2,3.0,1.9,0.8,1.6,4,49.2658,-123.1151
239,0.5,2.0,1.3,1.3,1.6,4,43.2298,-79.7722
240,-1.5,2.7,2.2,0.6,1.4,2,49.4833,-117.2833
241,0.3,2.0,2.3,0.7,2.2,4,43.6425,-79.3872
242,1.0,2.0,1.8,0.0,2.1,4,43.0093,-81.21
243,-1.7,-0.2,1.7,1.6,1.7,3,49.2869,-122.958
244,-1.0,1.4,0.3,1.2,1.7,3,53.9103,-122.7835
245,-0.1,1.1,1.3,0.6,1.2,1,53.5157,-113.6339
